dataset,n_segments,c,rule,selector,n_seeds,eval_auroc,eval_auroc_sd,alpha_values,own_floor_pct,published_floor_pct,gain_over_base_pct,oracle_gain_pct,recovered_fraction,vs_validation,vs_distance_matched
PSM,5,c20,ta,calibrated,3,0.735055250953601,0.006031366855979037,0 0 0,0.8205,0.068,0.0,4.445239623341305,0.0,worse,worse
PSM,5,c20,ta,validation,3,0.7601175934277777,0.002483540061076686,0.5 0.5 0.5,0.8205,0.068,3.409586210242409,4.445239623341305,0.7670196657879069,,
PSM,5,c20,ta,committed,3,0.7677302182224414,0.004293130814447084,1 1 1,0.8205,0.068,4.445239623341305,4.445239623341305,1.0,,
PSM,5,c20,ta,distance_matched,3,0.7677302182224414,0.004293130814447084,1 1 1,0.8205,0.068,4.445239623341305,4.445239623341305,1.0,,
PSM,5,c20,ta,oracle,3,0.7677302182224414,0.004293130814447084,1 1 1,0.8205,0.068,4.445239623341305,4.445239623341305,1.0,,
PSM,5,c20,ta,base,3,0.735055250953601,0.006031366855979037,0 0 0,0.8205,0.068,0.0,4.445239623341305,0.0,,
PSM,5,c20,dare,calibrated,3,0.735055250953601,0.006031366855979037,0 0 0,0.8205,0.068,0.0,4.507989712555449,0.0,worse,worse
PSM,5,c20,dare,validation,3,0.7603602587298105,0.002804736587926472,0.5 0.5 0.5,0.8205,0.068,3.442599415946055,4.507989712555449,0.7636662094320851,,
PSM,5,c20,dare,distance_matched,3,0.7683627942343613,0.0035463524866092464,dm dm dm,0.8205,0.068,4.531297917748325,4.507989712555449,1.0051704211143069,,
PSM,5,c20,dare,oracle,3,0.768191466048188,0.005625275377622874,1 1 1,0.8205,0.068,4.507989712555449,4.507989712555449,1.0,,
PSM,5,c20,dare,base,3,0.735055250953601,0.006031366855979037,0 0 0,0.8205,0.068,0.0,4.507989712555449,0.0,,
PSM,5,c20,ties,calibrated,3,0.7409283487754331,0.0070115986213437,0.5 0 0.5,0.8205,0.068,0.7990008661543219,5.312279929157575,0.1504063936406732,worse,worse
PSM,5,c20,ties,validation,3,0.7515389009320761,0.0039534326146552215,1 1 1,0.8205,0.068,2.242504894304274,5.312279929157575,0.42213605536783,,
PSM,5,c20,ties,distance_matched,3,0.7739647282463759,0.006924332103826701,dm dm dm,0.8205,0.068,5.293408521644711,5.312279929157575,0.9964475878973763,,
PSM,5,c20,ties,oracle,3,0.774103443518228,0.006629331276042537,5 3 3,0.8205,0.068,5.312279929157575,5.312279929157575,1.0,,
PSM,5,c20,ties,base,3,0.735055250953601,0.006031366855979037,0 0 0,0.8205,0.068,0.0,5.312279929157575,0.0,,
PSM,5,c20,iso_c,calibrated,3,0.7413310029221026,0.0043974474161018835,2 2 2,0.8205,0.068,0.8537796254580805,1.549917771988822,0.5508547878398274,tie,tie
PSM,5,c20,iso_c,validation,3,0.7464480029220679,0.0034015045782589217,5 5 5,0.8205,0.068,1.549917771988822,1.549917771988822,1.0,,
PSM,5,c20,iso_c,distance_matched,3,0.7438211470616424,0.0037348905592461605,dm dm dm,0.8205,0.068,1.1925492807063396,1.549917771988822,0.7694274510937993,,
PSM,5,c20,iso_c,oracle,3,0.7464480029220679,0.0034015045782589217,5 5 5,0.8205,0.068,1.549917771988822,1.549917771988822,1.0,,
PSM,5,c20,iso_c,base,3,0.735055250953601,0.006031366855979037,0 0 0,0.8205,0.068,0.0,1.549917771988822,0.0,,
PSM,5,c20,tsv,calibrated,3,0.7420874171475448,0.004378493155798334,0.5 0.5 0.5,0.8205,0.068,0.9566853899514077,5.238300297459693,0.182632788428596,tie,worse
PSM,5,c20,tsv,validation,3,0.7482083236420962,0.0028540281545042945,1 1 1,0.8205,0.068,1.7893991875347417,5.238300297459693,0.3415991993438231,,
PSM,5,c20,tsv,distance_matched,3,0.754775038134918,0.0026924931363441844,dm dm dm,0.8205,0.068,2.6827625754300914,5.238300297459693,0.5121437151533855,,
PSM,5,c20,tsv,oracle,3,0.7735596523507966,0.0026413338537555225,5 3 3,0.8205,0.068,5.238300297459693,5.238300297459693,1.0,,
PSM,5,c20,tsv,base,3,0.735055250953601,0.006031366855979037,0 0 0,0.8205,0.068,0.0,5.238300297459693,0.0,,
PSM,5,c30,ta,calibrated,3,0.8112348007357809,0.0015939837056274605,0.5 0.5 0.5,0.4716,0.068,1.5822977327721104,1.8045067699658914,0.8768588509102788,tie,better
PSM,5,c30,ta,validation,3,0.8112348007357809,0.0015939837056274605,0.5 0.5 0.5,0.4716,0.068,1.5822977327721104,1.8045067699658914,0.8768588509102788,,
PSM,5,c30,ta,committed,3,0.8049259702581781,0.001980417033122679,1 1 1,0.4716,0.068,0.7923100555420723,1.8045067699658914,0.43907291938674664,,
PSM,5,c30,ta,distance_matched,3,0.8049259702581781,0.001980417033122679,1 1 1,0.4716,0.068,0.7923100555420723,1.8045067699658914,0.43907291938674664,,
PSM,5,c30,ta,oracle,3,0.813009358980996,0.004479519379678679,3 0.5 3,0.4716,0.068,1.8045067699658914,1.8045067699658914,1.0,,
PSM,5,c30,ta,base,3,0.7985985933000443,0.0037658188328233474,0 0 0,0.4716,0.068,0.0,1.8045067699658914,0.0,,
PSM,5,c30,dare,calibrated,3,0.8112524213174304,0.0016976237266805735,0.5 0.5 0.5,0.4716,0.068,1.5845041706242775,1.7405653553952036,0.9103387963645344,tie,tie
PSM,5,c30,dare,validation,3,0.8112524213174304,0.0016976237266805735,0.5 0.5 0.5,0.4716,0.068,1.5845041706242775,1.7405653553952036,0.9103387963645344,,
PSM,5,c30,dare,distance_matched,3,0.8090784639637549,0.0017590562163331957,dm dm dm,0.4716,0.068,1.3122826350600845,1.7405653553952036,0.7539404544577555,,
PSM,5,c30,dare,oracle,3,0.8124987237436984,0.0038555468980376946,0.5 0.5 3,0.4716,0.068,1.7405653553952036,1.7405653553952036,1.0,,
