experiment,run_id,merge_rule,coefficient_source,alpha_source,alpha,n_finetunes,status,n_tensors,max_abs_diff
opcm2_psm_sum_scale,85506,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
opcm2_psm_thr03,85525,opcm,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
opcm2_psm_thr03,85526,opcm,scale,merge_scale/selected,0.35,3,bitwise,73,0.0
opcm2_psm_thr03,85527,opcm,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
opcm2_psm_thr04,85528,opcm,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
opcm2_psm_thr04,85529,opcm,scale,merge_scale/selected,0.35,3,bitwise,73,0.0
opcm2_psm_thr04,85530,opcm,scale,merge_scale/selected,0.35,3,bitwise,73,0.0
opcm2_psm_thr06,85531,opcm,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
opcm2_psm_thr06,85532,opcm,scale,merge_scale/selected,0.35,3,bitwise,73,0.0
opcm2_psm_thr06,85533,opcm,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
opcm2_psm_thr07,85534,opcm,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
opcm2_psm_thr07,85535,opcm,scale,merge_scale/selected,0.35,3,bitwise,73,0.0
opcm2_psm_thr07,85536,opcm,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
origin_etth1_merge_f075,84470,sum,scale,config.json,1.0,3,bitwise,73,0.0
origin_etth1_merge_f075,84478_1,sum,scale,config.json,1.0,3,bitwise,73,0.0
origin_etth1_merge_f075,84478_2,sum,scale,config.json,1.0,3,bitwise,73,0.0
origin_etth1_merge_f0875,84470,sum,scale,config.json,1.0,3,bitwise,73,0.0
origin_etth1_merge_f0875,84478_3,sum,scale,config.json,1.0,3,bitwise,73,0.0
origin_etth1_merge_f0875,84478_4,sum,scale,config.json,1.0,3,bitwise,73,0.0
origin_etth1_merge_f10,84470,sum,scale,config.json,1.0,3,bitwise,73,0.0
origin_etth1_merge_f10,84478_5,sum,scale,config.json,1.0,3,bitwise,73,0.0
origin_etth1_merge_f10,84478_6,sum,scale,config.json,1.0,3,bitwise,73,0.0
origin_etth1_window_f075,84470,sum,scale,config.json,1.0,1,bitwise,73,0.0
origin_etth1_window_f075,84478_19,sum,scale,config.json,1.0,1,bitwise,73,0.0
origin_etth1_window_f075,84478_20,sum,scale,config.json,1.0,1,bitwise,73,0.0
origin_etth1_window_f0875,84470,sum,scale,config.json,1.0,1,bitwise,73,0.0
origin_etth1_window_f0875,84478_21,sum,scale,config.json,1.0,1,bitwise,73,0.0
origin_etth1_window_f0875,84478_22,sum,scale,config.json,1.0,1,bitwise,73,0.0
origin_etth1_window_f10,84470,sum,scale,config.json,1.0,1,bitwise,73,0.0
origin_etth1_window_f10,84478_23,sum,scale,config.json,1.0,1,bitwise,73,0.0
origin_etth1_window_f10,84478_24,sum,scale,config.json,1.0,1,bitwise,73,0.0
origin_exchange_merge_f075,84470,sum,scale,config.json,0.5,3,bitwise,73,0.0
origin_exchange_merge_f075,84478_29,sum,scale,config.json,0.5,3,bitwise,73,0.0
origin_exchange_merge_f075,84478_30,sum,scale,config.json,0.5,3,bitwise,73,0.0
origin_exchange_merge_f0875,84470,sum,scale,config.json,0.5,3,bitwise,73,0.0
origin_exchange_merge_f0875,84478_31,sum,scale,config.json,0.5,3,bitwise,73,0.0
origin_exchange_merge_f0875,84478_32,sum,scale,config.json,0.5,3,bitwise,73,0.0
origin_exchange_merge_f10,84470,sum,scale,config.json,0.5,3,bitwise,73,0.0
origin_exchange_merge_f10,84478_33,sum,scale,config.json,0.5,3,bitwise,73,0.0
origin_exchange_merge_f10,84478_34,sum,scale,config.json,0.5,3,bitwise,73,0.0
origin_exchange_window_f075,84470,sum,scale,config.json,0.5,1,bitwise,73,0.0
origin_exchange_window_f075,84478_47,sum,scale,config.json,0.5,1,bitwise,73,0.0
